Episode 162 | Avg Reward: -2034.96 | Avg Energy: 7166.00 | Invalid: 0 | QoS Violations: 2 | Success Rate: 1.00 | Epsilon: 0.308
Episode 163 | Avg Reward: -943.44 | Avg Energy: 7199.00 | Invalid: 0 | QoS Violations: 1 | Success Rate: 1.00 | Epsilon: 0.306
Episode 164 | Avg Reward: -938.55 | Avg Energy: 7199.00 | Invalid: 0 | QoS Violations: 1 | Success Rate: 1.00 | Epsilon: 0.303
Episode 165 | Avg Reward: -2067.64 | Avg Energy: 7232.00 | Invalid: 0 | QoS Violations: 2 | Success Rate: 1.00 | Epsilon: 0.301
Episode 166 | Avg Reward: -2036.11 | Avg Energy: 7265.00 | Invalid: 0 | QoS Violations: 2 | Success Rate: 1.00 | Epsilon: 0.298
Episode 167 | Avg Reward: -2020.30 | Avg Energy: 7166.00 | Invalid: 0 | QoS Violations: 2 | Success Rate: 1.00 | Epsilon: 0.296
Episode 168 | Avg Reward: -2020.49 | Avg Energy: 7166.00 | Invalid: 0 | QoS Violations: 2 | Success Rate: 1.00 | Epsilon: 0.294
Episode 169 | Avg Reward: -2020.69 | Avg Energy: 7199.00 | Invalid: 0 | QoS Violations: 2 | Success Rate: 1.00 | Epsilon: 0.291
Episode 170 | Avg Reward: -2070.03 | Avg Energy: 7166.00 | Invalid: 0 | QoS Violations: 2 | Success Rate: 1.00 | Epsilon: 0.289
Episode 171 | Avg Reward: -2053.99 | Avg Energy: 7199.00 | Invalid: 0 | QoS Violations: 2 | Success Rate: 1.00 | Epsilon: 0.287
Episode 172 | Avg Reward: -2021.26 | Avg Energy: 7166.00 | Invalid: 0 | QoS Violations: 2 | Success Rate: 1.00 | Epsilon: 0.284
Episode 173 | Avg Reward: -2121.35 | Avg Energy: 7232.00 | Invalid: 0 | QoS Violations: 2 | Success Rate: 1.00 | Epsilon: 0.282
Episode 174 | Avg Reward: -2071.81 | Avg Energy: 7166.00 | Invalid: 0 | QoS Violations: 2 | Success Rate: 1.00 | Epsilon: 0.280
Episode 175 | Avg Reward: -2038.70 | Avg Energy: 7232.00 | Invalid: 0 | QoS Violations: 2 | Success Rate: 1.00 | Epsilon: 0.278
Episode 176 | Avg Reward: -2038.94 | Avg Energy: 7232.00 | Invalid: 0 | QoS Violations: 2 | Success Rate: 1.00 | Epsilon: 0.275
Episode 177 | Avg Reward: -2056.29 | Avg Energy: 7199.00 | Invalid: 0 | QoS Violations: 2 | Success Rate: 1.00 | Epsilon: 0.273
Episode 178 | Avg Reward: -2073.87 | Avg Energy: 7166.00 | Invalid: 0 | QoS Violations: 2 | Success Rate: 1.00 | Epsilon: 0.271
