python main.py agent_result/BEST_AGENT_5K/dqn_agent.pth v_1_retrain_log_10k.pth
Episode  6850 | Slices: 200 | Avg Reward:  135685.50 | Avg Energy:  32546.73 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  6900 | Slices: 200 | Avg Reward:  135693.65 | Avg Energy:  32639.16 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  6950 | Slices: 200 | Avg Reward:  135621.78 | Avg Energy:  32725.87 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  7000 | Slices: 200 | Avg Reward:  135701.03 | Avg Energy:  32638.79 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  7050 | Slices: 200 | Avg Reward:  135694.78 | Avg Energy:  32485.31 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  7100 | Slices: 200 | Avg Reward:  135765.52 | Avg Energy:  32248.60 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  7150 | Slices: 200 | Avg Reward:  135578.52 | Avg Energy:  32787.39 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  7200 | Slices: 200 | Avg Reward:  135655.14 | Avg Energy:  32470.77 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  7250 | Slices: 200 | Avg Reward:  135723.88 | Avg Energy:  32332.94 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  7300 | Slices: 200 | Avg Reward:  135722.55 | Avg Energy:  32291.02 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  7350 | Slices: 200 | Avg Reward:  135631.66 | Avg Energy:  32739.26 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  7400 | Slices: 200 | Avg Reward:  135742.45 | Avg Energy:  32494.98 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  7450 | Slices: 200 | Avg Reward:  135664.22 | Avg Energy:  32919.13 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  7500 | Slices: 200 | Avg Reward:  135637.68 | Avg Energy:  32700.67 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  7550 | Slices: 200 | Avg Reward:  135614.97 | Avg Energy:  32658.00 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  7600 | Slices: 200 | Avg Reward:  135588.08 | Avg Energy:  33014.07 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
